Date,Area,Equipment,Is Running,Driving End Temp,Driven End Temp,Oil Level,Abnormal Sound,Leakage,Observation,RMS Velocity (mm/s),Peak Acceleration (g),Displacement (µm),Gearbox Temp,Gearbox Oil Level,Gearbox Leakage,Gearbox Abnormal Sound,Gearbox RMS Velocity (mm/s),Gearbox Peak Acceleration (g),Gearbox Displacement (µm)
2023-01-02,Reaction,3-P-101,True,73.64770546229057,71.86159057079185,Normal,No,No,Normal Operation,2.022706446551656,1.0941851559351454,175.27821826326135,,,,,,,
2023-01-02,Reaction,3-P-102-A,True,75.184144870906,68.95066393785123,Normal,No,No,Normal Operation,2.328463208034997,1.1641219752076817,178.24462135984254,,,,,,,
2023-01-02,Reaction,3-P-103-A,True,73.68108080019117,72.5046035379167,Normal,No,No,Normal Operation,3.0546066046343308,1.293675613479017,181.09041680342497,63.463498023153946,Normal,No,No,1.926487742085771,1.3114305766976329,183.25873023671915
2023-01-02,Reaction,3-P-201,True,77.11558517422833,73.02190441252499,Low,No,No,Normal Operation,3.0768255388904207,1.3481055247534453,174.84716381008113,,,,,,,
2023-01-02,Reaction,3-P-202,True,74.45035488132568,70.60156672615146,Normal,No,No,Normal Operation,2.2194052477957413,1.090265213039621,173.52973281695583,,,,,,,
2023-01-02,Reaction,3-P-203,True,76.04028259106599,70.74618492886268,Normal,No,No,Normal Operation,2.4644759701976873,1.2328173674734737,178.47847200125557,,,,,,,
2023-01-02,Reaction,3-P-204,True,77.24405947500503,67.39672479039064,Normal,No,No,Normal Operation,2.50422998343896,1.1006436567248732,183.67275919620047,,,,,,,
2023-01-02,Reaction,3-P-205,True,71.78119947967048,68.64453703224056,Normal,No,No,Normal Operation,2.3446285345997095,1.1481657866261772,184.49149836801777,,,,,,,
2023-01-02,Reaction,3-P-206,True,70.88085735447771,70.84276206492108,Normal,No,No,Normal Operation,2.0205103228530668,1.215680529537274,179.9016137403404,,,,,,,
2023-01-02,Reaction,3-P-208,True,70.30631561966426,68.8136269909024,Normal,No,No,Normal Operation,2.4947385366504795,1.1973937110730393,182.92704290982496,,,,,,,
2023-01-02,Reaction,3-P-209,True,74.67527684536165,67.6561100805856,Normal,No,No,Normal Operation,2.5729869097542184,1.3738616951680889,187.39382287329812,,,,,,,
2023-01-02,Reaction,3-P-301-B,True,75.33164308306604,69.72487300955467,Normal,No,No,Normal Operation,2.8429037122852447,0.920309285661101,174.12222757203628,66.44918744267319,Normal,No,No,2.292521997870581,1.1104456123370758,169.99671251655698
2023-01-02,Reaction,3-P-301-C,True,73.2052090556378,71.7257048656534,Normal,No,No,Normal Operation,2.626178458700201,1.4771333064465788,174.17362009258773,65.64855506262514,Normal,No,No,2.3314891955948647,1.413751364225334,174.07959616352565
2023-01-02,Reaction,3-K-101-B,True,75.38046138464814,69.59411980410052,Normal,No,No,Normal Operation,2.978626382095085,1.3559251406503603,178.11704742984497,,,,,,,
2023-01-02,Reaction,3-K-301-B,True,74.33450238003275,69.53143108452896,Low,Yes,No,Normal Operation,2.1976469167955757,1.2707075334190174,190.38633059539296,,,,,,,
2023-01-02,Reaction,3-P-301-C,True,76.12912258539397,68.99738068484116,Low,No,No,Normal Operation,2.8381341861429097,0.7354387355538281,186.0656033390804,66.43186499414736,Normal,No,No,1.7472499414387705,1.3103110676288285,184.15933152016493
2023-01-02,Reaction,3-P-302-B,True,72.88826096433827,69.82349555623335,Normal,No,No,Normal Operation,2.7399514540919685,0.9402627738570616,183.33193735643496,,,,,,,
2023-01-02,Reaction,3-P-302-C,True,75.30698081505555,68.34962471021339,Normal,No,No,Normal Operation,2.944114716030251,1.0929309513171344,190.03668997867882,,,,,,,
2023-01-02,Reaction,3-P-303-A,True,77.52986471760846,66.38641178873274,Normal,No,No,Normal Operation,2.2895503347325445,1.0895511431997154,171.8733362929045,,,,,,,
2023-01-02,Reaction,3-P-304-B,True,72.65687783922233,69.98653544989504,Normal,No,No,Normal Operation,2.3780881092369506,1.0986794365571404,182.08749389719654,,,,,,,
2023-01-02,Reaction,3-P-305-A,True,77.61803644422744,73.95055500914876,Normal,No,No,Normal Operation,2.636084690130555,1.26227252647823,187.64927361267007,,,,,,,
2023-01-02,Reaction,3-P-306-A,True,74.21062797024872,66.59244761011145,High,No,No,Normal Operation,2.5473258709876165,1.0864723674401706,179.65069766103255,,,,,,,
2023-01-02,Reaction,3-M-301,True,76.96914368591517,73.93489492737238,Normal,No,No,Normal Operation,2.3084889594073,1.22692090842898,179.1829256920913,66.23247163089479,Normal,No,No,2.4418512927254,1.0037169142545337,183.05169498118468
2023-01-02,Reaction,3-M-201,True,76.0499313967471,72.45766891151268,Normal,No,No,Normal Operation,2.257310606000825,1.4826430982470487,186.02970989615739,,,,,,,
2023-01-02,Reaction,3-M-203,True,79.72318420950272,72.95712371038766,Normal,No,No,Normal Operation,2.294188369020678,1.1390831086333661,184.33278435938703,,,,,,,
2023-01-02,Reaction,3-M-205,True,73.67849794429351,68.88098449149103,Normal,No,No,Normal Operation,2.0415911451546487,1.312974671304423,177.94738599608124,,,,,,,
2023-01-02,Reaction,3-M-207,True,74.36731015633076,68.05947480939506,Normal,No,No,Normal Operation,2.668606918811922,1.0912611356196025,178.83286719835988,,,,,,,
2023-01-02,Reaction,3-M-209,True,76.08806811278274,70.30427770146424,Normal,No,No,Normal Operation,2.2856146538617224,1.0347205777539785,175.60965022500133,,,,,,,
2023-01-02,Reaction,3-P-401-A,True,73.9767936012916,68.54980781741351,Normal,Yes,No,Normal Operation,2.2765774479479925,1.0565852847015347,183.94664489275578,,,,,,,
2023-01-02,Reaction,3-K-102,True,76.46941411225035,69.85371543683776,Normal,No,No,Normal Operation,2.2057242208260153,1.3255487846081262,184.2335282825253,,,,,,,
2023-01-02,Reaction,3-K-401,True,75.57060302999712,67.97222365020477,Normal,Yes,No,Normal Operation,2.3522911860376343,0.8836314562943718,177.52364714970844,,,,,,,
2023-01-02,Reaction,3-K-402,True,77.47424124661683,70.02786294393732,Normal,No,No,Normal Operation,2.369263581815329,1.431746898591929,181.46403251293293,,,,,,,
2023-01-03,Finishing,3-P-501-A,True,75.71784851844876,71.08514593285749,Normal,No,No,Normal Operation,2.1808770861277043,1.3090066597915693,176.93006712339943,,,,,,,
2023-01-03,Finishing,3-P-502-A,True,76.26691825501004,68.90444460718703,Normal,No,No,Normal Operation,2.0179300127283346,1.2830908144797413,173.72818571878318,,,,,,,
2023-01-03,Finishing,3-P-503-B,True,75.97411894190748,69.01241702970826,Normal,No,No,Normal Operation,2.6674907860383708,1.5242442601068642,182.8853412839944,,,,,,,
